Table 1
,,,,
Player,Position,Nationality,,
"Brenden Aaronson",Midfielder,United States,,
"Terry Ablade",Forward,Finland,,
"Tammy Abraham",Forward,England,,
"Adam Armstrong",Forward,England,,
"Che Adams", Forward, Scotland,,
"Tyler Adams",Midfielder,United States,,
"Tosin Adarabioyo",Defender,England,,
"Tayo Adaramola",Defender,Ireland,,
"Joshua Addae",Defender,England,,
"Simon Adingra",Forward,Cote D’Ivoire,,
"Adrián",Goalkeeper,Spain,,
"Nayef Aguerd",Defender,Morocco,,
"Rayan Ait Nouri",Defender,France,,
"Kristoffer Ajer",Defender,Norway,,
"Nathan Aké",Defender,Netherlands,,
"Victor Akinwale",Forward,England,,
"Marc Albrighton",Midfielder,England,,
"Ryan Alebiosu",Defender,England,,
"Ajibola Alese",Defender,England,,
"Alex Telles",Defender,Brazil,,
"Trent Alexander-Arnold",Defender,England,,
"Alisson",Goalkeeper,Brazil,,
"Allan",Midfielder,Brazil,,
"Dele Alli",Midfielder,England,,
"Miguel Almirón",Midfielder,Paraguay,,
"Marcos Alonso",Defender,Spain,,
"Julián Álvarez",Forward,Argentina,,
"Álvaro Fernández",Goalkeeper,Spain,,
"Will Alves",Forward,England,,
"Steven Alzate",Midfielder,Colombia,,
"Daniel Amartey",Defender,Ghana,,
"Ethan Ampadu",Defender,Wales,,
"Joachim Andersen",Defender,Denmark,,
"Elliot Anderson",Midfielder,Scotland,,
"Florin Andone",Forward,Romania,,
"André Gomes",Midfielder,Portugal,,
"Andreas Pereira",Midfielder,Brazil,,
"Faustino Anjorin",Midfielder,England,,
"Jaidon Anthony",Forward,England,,
"Michail Antonio",Midfielder,Jamaica,,
"Paul Appiah",Defender,England,,
"Keenan Appiah-Forson",Midfielder,England,,
"Billy Arce",Midfielder,Ecuador,,
"Cameron Archer",Forward,England,,
"Alphonse Areola",Goalkeeper,France,,
"Joe Ayodele-Aribo",Midfielder,Nigeria,,
"Kepa Arrizabalaga",Goalkeeper,Spain,,
"Harry Arter",Midfielder,Ireland,,
"Harrison Ashby",Defender,Scotland,,
"Ryan Astley",Defender,Wales,,
"Pierre-Emerick Aubameyang",Forward,Gabon,,
"Ludwig Augustinsson",Defender,Sweden,,
"Serge Aurier",Defender,Cote D’Ivoire,,
"Brandon Austin",Goalkeeper,England,,
"Zach Awe",Defender,England,,
"Taiwo Awoniyi",Forward,Nigeria,,
"Jordan Ayew",Forward,Ghana,,
"Luke Ayling",Defender,England,,
"Miguel Azeez",Midfielder,England,,
"César Azpilicueta",Defender,Spain,,
"Abdul Rahman Baba",Defender,Ghana,,
"Baba Fernandes",Defender,Portugal,,
"Finley Back",Defender,England,,
"Leon Bailey",Forward,Jamaica,,
"Eric Bailly",Defender,Cote D’Ivoire,,
"Stefan Bajcetic",Defender,Spain,,
"Tiemoué Bakayoko",Midfielder,France,,
"Lewis Baker",Midfielder,England,,
"James Balagizi",Midfielder,England,,
"Ellery Balcombe",Goalkeeper,England,,
"Folarin Balogun",Forward,England,,
"Tudor Baluta",Defender,Romania,,
"Patrick Bamford",Forward,England,,
"Scott Banks",Midfielder,Scotland,,
"Shandon Baptiste",Midfielder,Grenada,,
"Ross Barkley",Midfielder,England,,
"Harvey Barnes",Midfielder,England,,
"Louie Barry",Forward,England,,
"Ryan Bartley",Defender,England,,
"Lewis Bate",Midfielder,England,,
"Michy Batshuayi",Forward,Belgium,,
"Nathan Baxter",Goalkeeper,England,,
"Gavin Bazunu",Goalkeeper,Ireland,,
"Mads Bech Sørensen",Defender,Denmark,,
"Owen Beck",Defender,Wales,,
"Jan Bednarek",Defender,Poland,,
"Asmir Begovic",Goalkeeper,Bosnia & Herzegovina,,
"Armel Bella Kotchap",Defender,Germany,,
"Héctor Bellerín",Defender,Spain,,
"Ben Woodburn",Midfielder,Wales,,
"Filip Benkovic",Defender,Croatia,,
"J'Neil Bennett",Midfielder,England,,
"Said Benrahma",Forward,Algeria,,
"Rodrigo Bentancur",Midfielder,Uruguay,,
"Christian Benteke",Forward,Belgium,,
"Lucas Bergström",Goalkeeper,Finland,,
"Steven Bergwijn",Forward,Netherlands,,
"Di'Shon Bernard",Defender,England,,
"Bernardo Silva",Midfielder,Portugal,,
"Ryan Bertrand",Defender,England,,
"Marcus Bettinelli",Goalkeeper,England,,
"Giulian Biancone",Defender,France,,
"Mads Bidstrup",Midfielder,Denmark,,
"Mika Biereth",Forward,Denmark,,
"Philip Billing",Midfielder,Denmark,,
"Nathan Bishop",Goalkeeper,England,,
"Yves Bissouma",Midfielder,Mali,,
"Harvey Blair",Forward,England,,
"Oscar Bobb",Midfielder,Norway,,
"Lamare Bogarde",Midfielder,Netherlands,,
"Mateusz Bogusz",Midfielder,Poland,,
"Bendegúz Bolla",Defender,Hungary,,
"Willy Boly",Defender,Cote D’Ivoire,,
"Gaëtan Bong",Defender,Cameroon,,
"Sven Botman",Defender,Netherlands,,
"Jamie Bowden",Midfielder,Ireland,,
"Jarrod Bowen",Forward,England,,
"Conor Bradley",Defender,Northern Ireland,,
"Jarrad Branthwaite",Defender,England,,
"Sammy Braybrooke",Midfielder,England,,
"Nathan Broadhead",Forward,Wales,,
"Armando Broja",Forward,Albania,,
"David Brooks",Midfielder,Wales,,
"Bruno Fernandes",Midfielder,Portugal,,
"Bruno Guimarães",Midfielder,Brazil,,
"Bruno Jordão",Midfielder,Portugal,,
"Lewis Brunt",Midfielder,England,,
"Joe Bryan",Defender,England,,
"Emiliano Buendía",Midfielder,Argentina,,
"Hugo Bueno",Defender,Spain,,
"Dan Burn",Defender,England,,
"Finley Burns",Defender,England,,
"Jack Butland",Goalkeeper,England,,
"Willy Caballero",Goalkeeper,Argentina,,
"Maliq Cadogan",Midfielder,England,,
"Cafú",Midfielder,Portugal,,
"Gary Cahill",Defender,England,,
"Moisés Caicedo",Midfielder,Ecuador,,
"Tom Cairney",Midfielder,Scotland,,
"Dominic Calvert-Lewin",Forward,England,,
"Leonardo Campana",Forward,Ecuador,,
"Chem Campbell",Midfielder,Wales,,
"Sergi Canós",Forward,Spain,,
"Todd Cantwell",Midfielder,England,,
"Elia Caprile",Goalkeeper,Italy,,
"Cardo Siddik Afraciab",Defender,Iraq,,
"Scott Carson",Goalkeeper,England,,
"Cameron Carter-Vickers",Defender,United States,,
"Cesare Casadei",Midfielder,Italy,,
"Casemiro",Midfielder,Brazil,,
"Matthew Cash",Defender,Poland,,
"Timothy Castagne",Defender,Belgium,,
"Edinson Cavani",Forward,Uruguay,,
"Cédric Soares",Defender,Portugal,,
"Kallum Cesay",Defender,Sierra Leone,,
"Trevoh Chalobah",Defender,England,,
"Calum Chambers",Defender,England,,
"Kgaogelo Chauke",Midfielder,England,,
