"","Player","Nationality","team_title","Position","goals","assists"
"1","Aaron Cresswell"," England","West Ham"," Defender",0,0
"2","Aaron Hickey","Scotland","Brentford","Defender",0,0
"3","Aaron Ramsdale","England","Arsenal","Goalkeeper",0,0
"4","Aaron Wan-Bissaka","England","Manchester United","Defender",0,0
"5","Abdoulaye Doucouré"," Mali","Everton"," Midfielder",0,0
"6","Adam Armstrong","England","Southampton","Forward",0,1
"7","Adam Forshaw","England","Leeds","Midfielder",0,0
"8","Adam Lallana","England","Brighton","Midfielder",0,0
"9","Adam Smith","England","Bournemouth","Defender",0,0
"10","Adam Webster","England","Brighton","Defender",0,0
"11","Adama Traoré"," Spain","Wolverhampton Wanderers"," Forward",0,0
"12","Albert Sambi Lokonga","Belgium","Arsenal","Midfielder",0,0
"13","Alejandro Garnacho","Argentina","Manchester United","Midfielder",0,0
"14","Aleksandar Mitrovic","Serbia","Fulham","Forward",3,0
"15","Alex Iwobi","Nigeria","Everton","Forward",0,0
"16","Alex Mighten","England","Nottingham Forest","Forward",0,0
"17","Alexis Mac Allister","Argentina","Brighton","Midfielder",1,0
"18","Alisson","Brazil","Liverpool","Goalkeeper",0,0
"19","Allan Saint-Maximin","France","Newcastle United","Forward",0,2
"20","Alphonse Areola","France","West Ham","Goalkeeper",0,0
"21","Amadou Onana","Belgium","Everton","Midfielder",0,0
"22","Andreas Pereira","Brazil","Fulham","Midfielder",0,1
"23","Andrew Robertson","Scotland","Liverpool","Defender",0,0
"24","Anthony Elanga","Sweden","Manchester United","Forward",0,1
"25","Anthony Gordon"," England","Everton"," Forward",0,0
"26","Anthony Martial","France","Manchester United","Forward",0,1
"27","Antonee Robinson","United States","Fulham","Defender",0,0
"28","Armando Broja","Albania","Chelsea","Forward",0,0
"29","Armel Bella Kotchap","Germany","Southampton","Defender",0,1
"30","Ashley Young","England","Aston Villa","Defender",0,0
"31","Ayoze Pérez","Spain","Leicester","Forward",0,0
"32","Ben Chilwell","England","Chelsea","Defender",0,0
"33","Ben Davies"," Wales","Tottenham"," Defender",0,1
"34","Ben Godfrey","England","Everton","Defender",0,0
"35","Ben Johnson"," England","West Ham"," Defender",0,0
"36","Ben Mee","England","Brentford","Defender",1,0
"37","Ben Pearson","England","Bournemouth","Midfielder",0,0
"38","Ben White","England","Arsenal","Defender",0,0
"39","Bernardo Silva","Portugal","Manchester City","Midfielder",1,1
"40","Bernd Leno","Germany","Fulham","Goalkeeper",0,0
"41","Bobby Reid","Jamaica","Fulham","Forward",1,0
"42","Boubacar Kamara","France","Aston Villa","Midfielder",0,0
"43","Brenden Aaronson","United States","Leeds","Midfielder",1,0
"44","Brennan Johnson","Wales","Nottingham Forest","Forward",1,0
"45","Bruno Fernandes","Portugal","Manchester United","Midfielder",0,0
"46","Bruno Guimarães","Brazil","Newcastle United","Midfielder",0,0
"47","Bryan Mbeumo","France","Brentford","Midfielder",1,0
"48","Bukayo Saka","England","Arsenal","Forward",0,0
"49","Cafú","Portugal","Nottingham Forest","Midfielder",0,0
"50","Callum Wilson"," England","Newcastle United"," Forward",2,0
"51","Calum Chambers","England","Aston Villa","Defender",0,0
"52","Cameron Archer","England","Aston Villa","Forward",0,0
"53","César Azpilicueta","Spain","Chelsea","Defender",0,0
"54","Che Adams"," Scotland","Southampton"," Forward",2,0
"55","Cheick Oumar Doucouré","Mali","Crystal Palace","Midfielder",0,0
"56","Cheikhou Kouyaté","Senegal","Nottingham Forest","Midfielder",0,0
"57","Chem Campbell","Wales","Wolverhampton Wanderers","Midfielder",0,0
"58","Chris Mepham","Wales","Bournemouth","Defender",0,0
"59","Chris Wood","New Zealand","Newcastle United","Forward",0,0
"60","Christian Eriksen","Denmark","Manchester United","Midfielder",0,0
"61","Christian Nørgaard","Denmark","Brentford","Midfielder",1,0
"62","Christian Pulisic","United States","Chelsea","Midfielder",0,0
"63","Clement Lenglet","France","Tottenham","Defender",0,0
"64","Cole Palmer","England","Manchester City","Midfielder",0,0
"65","Conor Coady","England","Everton","Defender",0,0
"66","Conor Coventry","Ireland","West Ham","Midfielder",0,0
"67","Conor Gallagher","England","Chelsea","Midfielder",0,0
