"","player_name","goals_GW2","assists_GW2","xG_GW2","xA_GW2","goals_GW3","assists_GW3","xG_GW3","xA_GW3"
"1","Aaron Cresswell",0,0,0.0549367517232895,0.362379491329193,0,0,0.118595890700817,0.53787462413311
"2","Aaron Hickey",0,0,0.042498130351305,0,0,0,0.042498130351305,0
"3","Aaron Ramsdale",0,0,0,0,0,0,0,0
"4","Abdoulaye Doucouré",0,0,0.0917132720351219,0,0,0,0.0917132720351219,0
"5","Adam Armstrong",0,1,0.0515741966664791,0.702688753604889,0,1,0.0515741966664791,0.702688753604889
"6","Adam Forshaw",0,0,0,0,0,0,0,0
"7","Adam Lallana",0,0,0.510406792163849,0.186925202608109,0,0,0.510406792163849,0.226799383759499
"8","Adam Smith",0,0,0.317424025386572,0,0,0,0.317424025386572,0.0515277273952961
"9","Adam Webster",0,0,0.0278045646846294,0,0,0,0.0803417861461639,0
"10","Adama Traoré",0,0,0,0,0,0,0,0
"11","Albert Sambi Lokonga",0,0,0,0,0,0,0,0
"12","Alejandro Garnacho",0,0,0,0,0,0,0,0
"13","Aleksandar Mitrovic",2,0,1.8153880238533,0.148225910961628,3,0,3.37280029058456,0.148225910961628
"14","Alex Iwobi",0,0,0,0.244497574865818,0,0,0.0250865966081619,0.411820001900196
"15","Alex Mighten",0,0,0,0,0,0,0,0
"16","Alexis Mac Allister",0,0,0.0637697950005531,0,1,0,0.842639543116093,0
"17","Alisson",0,0,0,0,0,0,0,0
"18","Allan Saint-Maximin",0,0,0.358396768569946,0.0637574084103108,0,2,0.577206805348396,1.19140099361539
"19","Alphonse Areola",0,0,0,0,0,0,0,0
"20","Amadou Onana",0,0,0.0898458585143089,0,0,0,0.103559471666813,0
"21","Andreas Pereira",0,0,0.046721026301384,0.0812823064625263,0,1,0.227581322193146,0.430631149560213
"22","Andrew Robertson",0,0,0.080319382250309,0,0,0,0.080319382250309,0.182523623108864
"23","Anthony Elanga",0,0,0,0.0234235431998968,0,1,0.292516738176346,0.309195896610618
"24","Anthony Gordon",0,0,0.165228776633739,0,0,0,0.824474148452282,0.168182581663132
"25","Antonee Robinson",0,0,0.0142226004973054,0.0719574466347694,0,0,0.0142226004973054,0.189217261970043
"26","Armando Broja",0,0,0.0460848957300186,0,0,0,0.0460848957300186,0
"27","Armel Bella Kotchap",0,0,0.0510094277560711,0,0,1,0.279296275228262,0.27309837937355
"28","Ashley Young",0,0,0,0,0,0,0,0
"29","Ben Chilwell",0,0,0,0,0,0,0,0
"30","Ben Davies",0,1,0.0874574854969978,0.0366338640451431,0,1,0.0874574854969978,0.0366338640451431
"31","Ben Godfrey",0,0,0,0,0,0,0,0
"32","Ben Johnson",0,0,0,0,0,0,0,0.10237318277359
"33","Ben Mee",1,0,0.561302781105042,0,1,0,0.620168324559927,0
"34","Ben Pearson",0,0,0.0420541763305664,0,0,0,0.0420541763305664,0
"35","Ben White",0,0,0,0.0788868889212608,0,0,0,0.214057482779026
"36","Bernardo Silva",0,0,0,0,1,1,0.574781239032745,0.41159662604332
"37","Bobby Reid",0,0,0.168564587831497,0.0633721053600311,1,0,1.1102486550808,0.149276219308376
"38","Boubacar Kamara",0,0,0.0156120974570513,0,0,0,0.0156120974570513,0.0114574236795306
"39","Brenden Aaronson",0,0,0.0894250255078077,0.0404496528208256,1,0,0.99239724688232,0.108892280608416
"40","Brennan Johnson",0,0,0.110721260309219,0.574491143226624,1,0,0.441707462072372,0.644615933299065
"41","Bruno Fernandes",0,0,0.172660402953625,0.34371565002948,0,0,0.618138335645199,0.750143748708069
"42","Bruno Guimarães",0,0,0.0173329152166843,0.282897233963013,0,0,0.0173329152166843,0.352416232228279
"43","Bryan Mbeumo",1,0,0.472263365983963,0.185684502124786,1,0,0.579019941389561,0.601125597953796
"44","Bukayo Saka",0,0,0.311592452228069,0.307903528213501,0,0,0.353679742664099,0.471526518464088
"45","Cafú",0,0,0,0,0,0,0,0
"46","Callum Wilson",1,0,0.719353973865509,0.189242269843817,2,0,1.66821372509003,0.189242269843817
"47","Calum Chambers",0,0,0,0,0,0,0,0
"48","Cameron Archer",0,0,0,0,0,0,0,0
"49","César Azpilicueta",0,0,0,0.25220713019371,0,0,0,0.25220713019371
"50","Che Adams",0,0,0.011730432510376,0.0135605847463012,2,0,0.804629325866699,0.0135605847463012
"51","Cheick Oumar Doucouré",0,0,0.0168068371713161,0.638023018836975,0,0,0.0320787988603115,0.638023018836975
"52","Chem Campbell",0,0,0,0,0,0,0,0
"53","Chris Mepham",0,0,0,0,0,0,0.0211679954081774,0
"54","Chris Richards",0,0,0.0631960332393646,0.452222377061844,0,0,0.0631960332393646,0.452222377061844
"55","Chris Wood",0,0,0,0,0,0,0,0
"56","Christian Eriksen",0,0,0.54652538895607,0.139617130160332,0,0,0.653440766036511,0.139617130160332
"57","Christian Nørgaard",0,0,0,0.0284720901399851,1,0,0.295805990695953,0.0284720901399851
"58","Christian Pulisic",0,0,0.115065813064575,0,0,0,0.115065813064575,0
"59","Clement Lenglet",0,0,0,0,0,0,0,0
"60","Cole Palmer",0,0,0,0,0,0,0,0
"61","Conor Coady",0,0,0,0,0,0,0,0
"62","Conor Coventry",0,0,0,0,0,0,0,0
"63","Conor Gallagher",0,0,0,0.107819676399231,0,0,0.0535958409309387,0.186828628182411
"64","Cristian Romero",0,0,0.125088021159172,0,0,0,0.125088021159172,0
"65","Cristiano Ronaldo",0,0,0.271831043064594,0.139890938997269,0,0,0.309007853269577,0.139890938997269
"66","Crysencio Summerville",0,0,0,0,0,0,0,0
"67","Dan Burn",0,0,0.237977903336287,0.0222181659191847,0,0,0.237977903336287,0.0771113689988852
"68","Daniel Amartey",0,0,0.0110978214070201,0.0169574692845345,0,0,0.0110978214070201,0.0169574692845345
"69","Daniel James",0,0,0.0586611032485962,0,0,0,0.0743685886263847,0.471601933240891
"70","Daniel Podence",1,0,0.521415814757347,0.1682448387146,1,0,0.610188603401184,0.283244207501411
"71","Danny Ings",1,0,0.441446557641029,0.0153511418029666,1,0,0.521905682981014,0.0153511418029666
"72","Danny Ward",0,0,0,0,0,0,0,0
"73","Danny Welbeck",0,1,0.482833161950111,0.641282014548779,0,1,0.482833161950111,0.694470640271902
"74","Darwin Núñez",1,1,2.49590849876404,0.491571009159088,1,1,2.49590849876404,0.491571009159088
"75","David de Gea",0,0,0,0,0,0,0,0
"76","David Raya",0,0,0,0,0,0,0,0
"77","Dean Henderson",0,0,0,0,0,0,0,0
"78","Declan Rice",0,0,0.821588393300772,0,0,0,0.844401383772492,0.0826915428042412
"79","Dejan Kulusevski",1,1,0.187367796897888,0.5757936835289,1,1,0.187367796897888,0.996206760406494
"80","Dele Alli",0,0,0,0,0,0,0,0
"81","Demarai Gray",0,0,0.187875218689442,0.0622844435274601,1,0,0.620756186544895,0.118383578956127
"82","Deniz Undav",0,0,0,0,0,0,0,0
"83","Dennis Praet",0,0,0,0,0,0,0,0
"84","Diego Carlos",0,0,0.73917998559773,0,0,0,0.73917998559773,0
"85","Diego Llorente",0,0,0.0372547283768654,0,0,0,0.0579668283462524,0
"86","Diogo Dalot",0,0,0.525678895413876,0.13048368319869,0,0,0.536480926908553,0.625306602567434
"87","Dominic Solanke",0,0,0.186297401785851,0,0,0,0.186297401785851,0
"88","Donny van de Beek",0,0,0,0,0,0,0,0
"89","Douglas Luiz",0,0,0.0260044131428003,0,0,0,0.0260044131428003,0.0707792937755585
"90","Dwight McNeil",0,0,0.142889857292175,0.0684387385845184,0,0,0.215952001512051,0.0684387385845184
"91","Eberechi Eze",0,1,0.383123695850372,0.433534145355225,0,1,0.631645768880844,0.934180438518524
"92","Eddie Nketiah",0,0,0.070892758667469,0.0960643664002419,0,0,0.336691685020924,0.176091574132442
"93","Ederson",0,0,0,0,0,0,0,0
"94","Edouard Mendy",0,0,0,0,0,0,0,0
"95","Emerson",0,1,0.166745752096176,0.214627668261528,0,1,0.288328170776367,0.214627668261528
